translator,lang,rank,feature,spearman_rho,p,eta2_model_before,eta2_model_after
llm,ru,4,burstiness,0.9137648447808874,5.499642170779865e-48,0.4046150958374322,0.3003767159502373
llm,ru,4,dep_depth,0.7938880135816947,2.9460319137640487e-27,0.4046150958374322,0.3003767159502373
llm,ru,4,subord_rate,0.7446150785964621,1.8840077000718455e-22,0.4046150958374322,0.3003767159502373
llm,ru,4,func_word_ratio,0.553339329185875,5.592870444312117e-11,0.4046150958374322,0.3003767159502373
llm,ru,4,first_person_rate,0.6610717023773598,2.0871865930935823e-16,0.4046150958374322,0.3003767159502373
llm,ru,4,para_count,1.0,0.0,0.4046150958374322,0.3003767159502373
llm,ru,4,para_len_mean,0.9740039206316355,6.04531229757101e-78,0.4046150958374322,0.3003767159502373
llm,ru,4,question_rate,,,0.4046150958374322,0.3003767159502373
llm,ru,4,connective_rate,0.6110047173997365,1.254823133008717e-13,0.4046150958374322,0.3003767159502373
llm,ru,4,comma_per_1k,0.444242268506622,3.7222794918399235e-07,0.4046150958374322,0.3003767159502373
llm,ru,4,colon_per_1k,0.6608236585414091,2.1609132335920963e-16,0.4046150958374322,0.3003767159502373
llm,ru,4,dash_per_1k,0.48186342457449677,2.516512642220134e-08,0.4046150958374322,0.3003767159502373
llm,ru,4,semicolon_per_1k,0.7647316864488243,2.8531329114492412e-24,0.4046150958374322,0.3003767159502373
llm,ru,4,bigram_entropy,0.5479963886380997,9.290436785044039e-11,0.4046150958374322,0.3003767159502373
llm,ru,4,digit_rate,0.9869917374877415,1.5965235691045927e-95,0.4046150958374322,0.3003767159502373
llm,tr,6,mattr,0.5270157649836794,6.266424790242454e-10,0.40461509583743266,0.31610124033186937
llm,tr,6,hapax_rate,0.7341394134318407,1.4348184660338968e-21,0.40461509583743266,0.31610124033186937
llm,tr,6,mean_token_len,0.7347037988749218,1.2893130574645147e-21,0.40461509583743266,0.31610124033186937
llm,tr,6,zipf_slope,0.6577956802555731,3.2925835180863737e-16,0.40461509583743266,0.31610124033186937
llm,tr,6,sent_len_mean,0.917772588003299,3.738340481026859e-49,0.40461509583743266,0.31610124033186937
